Country Name,2018,2019,country,GDP
Algeria,4114.715061,3948.343279,1,4114.715061
Egypt,2549.132252,3020.03135,5,2549.132252
Iraq,5834.166211,5955.10901,7,5834.166211
Jordan,4241.788782,4330.329346,8,4241.788782
Kuwait,33994.38192,32031.9801,9,33994.38192
Lebanon,8024.803271,7784.316857,10,8024.803271
Libya,7877.122251,7683.750611,11,7877.122251
Morocco,3222.200634,3204.095003,13,3222.200634
Palestine,3198.866644,,15,3198.866644
Sudan,623.8672524,441.5056034,19,623.8672524
Tunisia,3438.789089,3317.541013,21,3438.789089
"Yemen, Rep.",968.1590476,,22,968.1590476
